ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2021,1,"OMISIO",19,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,1,"NEIXEMENT",71,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,1,"CANVI RESIDENCIA",537,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,2,"OMISIO",45,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,2,"NEIXEMENT",69,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,2,"CANVI RESIDENCIA",577,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,3,"OMISIO",26,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,3,"NEIXEMENT",83,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,3,"CANVI RESIDENCIA",663,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,4,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,4,"NEIXEMENT",88,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,4,"CANVI RESIDENCIA",597,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,5,"OMISIO",29,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,5,"NEIXEMENT",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,5,"CANVI RESIDENCIA",572,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,6,"OMISIO",39,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,6,"NEIXEMENT",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,6,"CANVI RESIDENCIA",566,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,7,"OMISIO",40,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,7,"NEIXEMENT",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,7,"CANVI RESIDENCIA",685,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,8,"OMISIO",37,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,8,"NEIXEMENT",76,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,8,"CANVI RESIDENCIA",633,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,9,"OMISIO",61,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,9,"NEIXEMENT",67,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,9,"CANVI RESIDENCIA",794,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,10,"OMISIO",58,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,10,"NEIXEMENT",57,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,10,"CANVI RESIDENCIA",846,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,11,"OMISIO",57,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,11,"NEIXEMENT",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,11,"CANVI RESIDENCIA",701,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,1,"OMISIO",18,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,1,"NEIXEMENT",104,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,1,"CANVI RESIDENCIA",694,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,2,"OMISIO",32,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,2,"NEIXEMENT",81,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,2,"CANVI RESIDENCIA",737,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,3,"OMISIO",24,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,3,"NEIXEMENT",78,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,3,"CANVI RESIDENCIA",415,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,4,"NEIXEMENT",80,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,4,"CANVI RESIDENCIA",47,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,5,"OMISIO",6,"4314820002","AJUNTAMENT DE TARRAGONA"
