ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2021,1,"INSCRIPCIO INDEGUDA",45,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,1,"EMIGRACIO",455,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,1,"DEFUNCIO",140,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,2,"INSCRIPCIO INDEGUDA",214,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,2,"EMIGRACIO",434,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,2,"DEFUNCIO",105,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,3,"INSCRIPCIO INDEGUDA",54,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,3,"EMIGRACIO",622,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,3,"DEFUNCIO",93,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,4,"INSCRIPCIO INDEGUDA",18,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,4,"EMIGRACIO",474,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,4,"DEFUNCIO",84,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,5,"INSCRIPCIO INDEGUDA",770,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,5,"EMIGRACIO",544,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,5,"DEFUNCIO",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,6,"INSCRIPCIO INDEGUDA",769,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,6,"EMIGRACIO",465,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,6,"DEFUNCIO",87,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,7,"INSCRIPCIO INDEGUDA",808,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,7,"EMIGRACIO",487,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,7,"DEFUNCIO",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,8,"EMIGRACIO",437,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,8,"DEFUNCIO",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,9,"INSCRIPCIO INDEGUDA",629,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,9,"EMIGRACIO",558,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,9,"DEFUNCIO",64,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,10,"INSCRIPCIO INDEGUDA",582,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,10,"EMIGRACIO",343,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,10,"DEFUNCIO",2,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,11,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2021,11,"EMIGRACIO",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,1,"INSCRIPCIO INDEGUDA",45,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,1,"EMIGRACIO",490,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,1,"DEFUNCIO",104,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,2,"EMIGRACIO",508,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,2,"DEFUNCIO",77,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,3,"INSCRIPCIO INDEGUDA",123,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,3,"EMIGRACIO",301,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,3,"DEFUNCIO",117,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,4,"EMIGRACIO",45,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,4,"DEFUNCIO",135,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,5,"INSCRIPCIO INDEGUDA",2,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,5,"EMIGRACIO",232,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,5,"DEFUNCIO",81,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,6,"INSCRIPCIO INDEGUDA",2,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,6,"EMIGRACIO",430,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,6,"DEFUNCIO",74,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,7,"INSCRIPCIO INDEGUDA",4,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,7,"EMIGRACIO",562,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,7,"DEFUNCIO",72,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,8,"INSCRIPCIO INDEGUDA",1,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,8,"EMIGRACIO",445,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,8,"DEFUNCIO",90,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,9,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,9,"EMIGRACIO",551,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,9,"DEFUNCIO",69,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,10,"INSCRIPCIO INDEGUDA",651,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,10,"EMIGRACIO",550,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,10,"DEFUNCIO",119,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,11,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,11,"EMIGRACIO",609,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,11,"DEFUNCIO",124,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"INSCRIPCIO INDEGUDA",553,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"EMIGRACIO",392,"4314820002","AJUNTAMENT DE TARRAGONA"
2020,12,"DEFUNCIO",89,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"EMIGRACIO",521,"4314820002","AJUNTAMENT DE TARRAGONA"
2019,1,"DEFUNCIO",97,"4314820002","AJUNTAMENT DE TARRAGONA"
