"CODI","NOM","ADRECA","LATITUD","LONGITUD","CODI_ENS","NOM_ENS"
"25482,0","Rambla Nova, 106","Rambla Nova, 106","41.117565","1.248163","4314820002","AJUNTAMENT DE TARRAGONA"
"25484,0","Rambla Nova, 68","Rambla Nova, 68","41.115920","1.251895","4314820002","AJUNTAMENT DE TARRAGONA"
"25486,0","Rambla Nova, 127","Rambla Nova, 127","41.119161","1.246214","4314820002","AJUNTAMENT DE TARRAGONA"
"25487,0","Rambla Nova, 91","Rambla Nova, 91","41.116853","1.251047","4314820002","AJUNTAMENT DE TARRAGONA"
"25109,0","Mas dels Cups","Mas dels cups, 14","41.155156","1.244094","4314820002","AJUNTAMENT DE TARRAGONA"
"25203,0","Colom","Colom, 7","41.116683","1.248404","4314820002","AJUNTAMENT DE TARRAGONA"
"25139,0","Part Alta","Av. Pallaresos, 109","41.1663866667","1.246916667","4314820002","AJUNTAMENT DE TARRAGONA"
"25040,0","Les Vinyes",,"41.1564808548","1.2459734157","4314820002","AJUNTAMENT DE TARRAGONA"
"25215,0","Sta. Isabel - 1",,"41.1563333333","1.2383466667","4314820002","AJUNTAMENT DE TARRAGONA"
"25034,0","Comellar","Mas dels Cups, 2-4","41.1528780117","1.2419462353","4314820002","AJUNTAMENT DE TARRAGONA"
"25211,0","L'Escorpí","Joanot Martorell s/n","41.1432966667","1.31822","4314820002","AJUNTAMENT DE TARRAGONA"
"25451,0","Isaac Albéniz","Isaac Albeniz, 55","41.1397033333","1.3012683333","4314820002","AJUNTAMENT DE TARRAGONA"
"25055,0","Entrepins","Roca Bruna, estació EMATSA","41.1396183333","1.3110616667","4314820002","AJUNTAMENT DE TARRAGONA"
"25199,0","Veneçuela","Bloc Méxic","41.1393876802","1.2490877509","4314820002","AJUNTAMENT DE TARRAGONA"
"25056,0","Equador","Bloc Períº","41.1392716667","1.2505833333","4314820002","AJUNTAMENT DE TARRAGONA"
"25179,0","St. Bartomeu","Bloc St. Simon, esc C","41.1390725592","1.2522380054","4314820002","AJUNTAMENT DE TARRAGONA"
"25628,0","St. Bartomeu","Bloc St. Maties","41.1390538741","1.2521971017","4314820002","AJUNTAMENT DE TARRAGONA"
"26610,0","Cantallops","Cantallops, Urb. Entrepins","41.1385783333","1.3130516667","4314820002","AJUNTAMENT DE TARRAGONA"
"25634,0","St. Pere i St. Pau","Ctra. Pont d'Armentera","41.1383896654","1.2559989095","4314820002","AJUNTAMENT DE TARRAGONA"
"25555,0","Guatemala","Bloc Guatemala","41.1383197218","1.2494149805","4314820002","AJUNTAMENT DE TARRAGONA"
"25183,0","St. Pere i St. Pau","Ctra. Pont d'Armentera","41.1382879062","1.2557903007","4314820002","AJUNTAMENT DE TARRAGONA"
"25088,0","La Plaça","Av. Boscos, 2","41.1380316667","1.295025","4314820002","AJUNTAMENT DE TARRAGONA"
"25073,0","Guatemala","Pl. Cuba ","41.1374762255","1.2512797862","4314820002","AJUNTAMENT DE TARRAGONA"
"25038,0","Coop. Tàrraco","Miquel Servet, 14-16","41.1371434197","1.258032918","4314820002","AJUNTAMENT DE TARRAGONA"
"25107,0","Mas de les Flors","Violant d'Hongria, 4","41.1369016667","1.2560966667","4314820002","AJUNTAMENT DE TARRAGONA"
"25117,0","Miramar","Av. Països Catalans, bloc Coll de Lilla","41.1365016652","1.2503510714","4314820002","AJUNTAMENT DE TARRAGONA"
"25048,0","El Catllar","Ctra. El Catllar, Km 6","41.1348133333","1.305465","4314820002","AJUNTAMENT DE TARRAGONA"
"25590,0","Països Catalans, 41","Països Catalans, 41","41.1344008774","1.2481555994","4314820002","AJUNTAMENT DE TARRAGONA"
"25126,0","Muller","Av. del Cel s/n","41.1342466667","1.3067116667","4314820002","AJUNTAMENT DE TARRAGONA"
"25447,0","Països Catalans, 41","Av. Països Catalans, 32","41.1341545302","1.2476840616","4314820002","AJUNTAMENT DE TARRAGONA"
"25155,0","Politecnic","Zona Educacional, Facultat de Ciéncies i Psicologia","41.1340512493","1.2410629615","4314820002","AJUNTAMENT DE TARRAGONA"
"25013,0","Bon Sol","Ctra. Llevantina, 3","41.1338861005","1.302189678","4314820002","AJUNTAMENT DE TARRAGONA"
"25142,0","Pedrol","Muntanyeta, 14","41.1337083333","1.2526983333","4314820002","AJUNTAMENT DE TARRAGONA"
"25099,0","Llevantina 2","Ctra. Llevantina, 19","41.1336716667","1.2988233333","4314820002","AJUNTAMENT DE TARRAGONA"
"25098,0","Llevantina 1","Ctra. Llevantina, 5","41.1331983333","1.2977033333","4314820002","AJUNTAMENT DE TARRAGONA"
"25212,0","Mestre Xavier Gols","Carrer de les Gavarres, 4","41.1327148957","1.2051267251","4314820002","AJUNTAMENT DE TARRAGONA"
"25128,0","Muntanyeta","Muntanyeta, 38","41.1324266667","1.2517166667","4314820002","AJUNTAMENT DE TARRAGONA"
