"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"SANT PERE I SANT PAU","59","D","ESPANYA","106","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","70","D","ESPANYA","80","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","82","H","ESPANYA","193","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","60","D","ESPANYA","505","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","35","H","ESPANYA","27","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","84","H","ESPANYA","33","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","82","D","ESPANYA","49","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","34","D","ESPANYA","81","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","59","H","ESPANYA","354","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","53","H","ESPANYA","20","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","50","H","ESPANYA","438","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","34","H","ESPANYA","78","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","43","D","ESTRANGER","78","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","58","D","ESPANYA","20","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","50","D","ESPANYA","122","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","36","H","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","34","D","ESPANYA","306","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","55","H","ESPANYA","97","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","59","D","ESPANYA","451","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","51","H","ESPANYA","425","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","78","D","ESPANYA","62","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","72","D","ESPANYA","80","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","60","H","ESPANYA","27","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","64","H","ESPANYA","109","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","50","H","ESPANYA","111","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","25","H","ESTRANGER","147","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","31","H","ESPANYA","77","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","63","H","ESPANYA","365","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","61","D","ESPANYA","49","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","48","H","ESPANYA","39","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","30","H","ESTRANGER","86","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","24","D","ESPANYA","68","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","59","H","ESPANYA","36","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","43","D","ESPANYA","332","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","78","H","ESPANYA","49","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","43","D","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","54","H","ESPANYA","18","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","79","D","ESPANYA","44","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","76","D","ESPANYA","83","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","66","D","ESPANYA","427","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","26","D","ESPANYA","80","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","31","D","ESPANYA","59","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","93","D","ESPANYA","119","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","25","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","49","H","ESPANYA","40","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","61","H","ESTRANGER","49","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","26","H","ESPANYA","97","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","24","D","ESPANYA","34","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","62","H","ESPANYA","20","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","24","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","35","H","ESPANYA","287","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","57","H","ESTRANGER","21","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","67","D","ESPANYA","119","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","58","H","ESTRANGER","33","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","32","H","ESPANYA","90","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","46","D","ESPANYA","432","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","33","D","ESPANYA","292","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","70","H","ESPANYA","81","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","44","H","ESPANYA","102","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","45","H","ESTRANGER","35","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","55","D","ESTRANGER","14","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","60","D","ESPANYA","104","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","32","H","ESPANYA","60","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","62","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","53","H","ESTRANGER","32","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","59","H","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","84","D","ESPANYA","21","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","45","D","ESPANYA","406","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","82","D","ESPANYA","279","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","33","H","ESPANYA","61","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","48","H","ESTRANGER","72","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","67","H","ESPANYA","55","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","52","D","ESTRANGER","47","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","89","H","ESPANYA","77","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","82","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","68","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","60","H","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","58","H","ESPANYA","69","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","22","D","ESPANYA","40","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","33","D","ESPANYA","67","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","36","D","ESPANYA","38","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","31","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","56","D","ESPANYA","32","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","62","H","ESPANYA","50","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","58","H","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","58","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","41","D","ESTRANGER","29","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","92","D","ESPANYA","124","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","47","D","ESTRANGER","58","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","61","H","ESPANYA","24","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","69","D","ESPANYA","33","4314820002","AJUNTAMENT DE TARRAGONA"
