codi;nom;adreca;latitud;longitud
25482;Rambla Nova, 106;Rambla Nova, 106;41.117565;1.248163
25484;Rambla Nova, 68;Rambla Nova, 68;41.11592;1.251895
25486;Rambla Nova, 127;Rambla Nova, 127;41.119161;1.246214
25487;Rambla Nova, 91;Rambla Nova, 91;41.116853;1.251047
25109;Mas dels Cups;Mas dels cups, 14;41.155156;1.244094
25203;Colom;Colom, 7;41.116683;1.248404
25139;Part Alta;Av. Pallaresos, 109;41.1663866667;1.246916667
25034;Comellar;Mas dels Cups, 2-4;41.1528780117;1.2419462353
25211;L'Escorpí;Joanot Martorell s/n;41.1432966667;1.31822
25451;Isaac Albéniz;Isaac Albeniz, 55;41.1397033333;1.3012683333
25055;Entrepins;Roca Bruna, estació EMATSA;41.1396183333;1.3110616667
25199;Veneçuela;Bloc Méxic;41.1393876802;1.2490877509
25056;Equador;Bloc Períº;41.1392716667;1.2505833333
25179;St. Bartomeu;Bloc St. Simon, esc C;41.1390725592;1.2522380054
25628;St. Bartomeu;Bloc St. Maties;41.1390538741;1.2521971017
26610;Cantallops;Cantallops, Urb. Entrepins;41.1385783333;1.3130516667
25634;St. Pere i St. Pau;Ctra. Pont d'Armentera;41.1383896654;1.2559989095
25555;Guatemala;Bloc Guatemala;41.1383197218;1.2494149805
25183;St. Pere i St. Pau;Ctra. Pont d'Armentera;41.1382879062;1.2557903007
25088;La Plaça;Av. Boscos, 2;41.1380316667;1.295025
25073;Guatemala;Pl. Cuba ;41.1374762255;1.2512797862
25038;Coop. Tàrraco;Miquel Servet, 14-16;41.1371434197;1.258032918
25107;Mas de les Flors;Violant d'Hongria, 4;41.1369016667;1.2560966667
25117;Miramar;Av. Països Catalans, bloc Coll de Lilla;41.1365016652;1.2503510714
25048;El Catllar;Ctra. El Catllar, Km 6;41.1348133333;1.305465
25590;Països Catalans, 41;Països Catalans, 41;41.1344008774;1.2481555994
25126;Muller;Av. del Cel s/n;41.1342466667;1.3067116667
25447;Països Catalans, 41;Av. Països Catalans, 32;41.1341545302;1.2476840616
25155;Politecnic;Zona Educacional, Facultat de Ciéncies i Psicologia;41.1340512493;1.2410629615
25013;Bon Sol;Ctra. Llevantina, 3;41.1338861005;1.302189678
25142;Pedrol;Muntanyeta, 14;41.1337083333;1.2526983333
25099;Llevantina 2;Ctra. Llevantina, 19;41.1336716667;1.2988233333
25098;Llevantina 1;Ctra. Llevantina, 5;41.1331983333;1.2977033333
25212;Mestre Xavier Gols;Carrer de les Gavarres, 4;41.1327148957;1.2051267251
25128;Muntanyeta;Muntanyeta, 38;41.1324266667;1.2517166667
25011;Blauet;Passeig del Blauet s/n;41.1321275178;1.3561171442
25119;Monnars;Ctra. a El Catllar TP-2039;41.1320116667;1.3041616667
25455;Mercat del Camp;Av. La Florida, ctra. TP-3145;41.1312033333;1.1799133333
25472;P.P.9;Polígon P.P.9, Les Gavarres;41.1307800135;1.2063908726
25151;Platja Llarga;Ctra. N-340, accés a Platja Llarga;41.1303616667;1.3007966667
25080;Joan Serra;Av. Països Catalans, 8;41.1295015508;1.2425800413
25536;Conca de Barbera;Conca de Barbera, 46;41.1294694942;1.3496374525
25113;Mediterrani;Ctra. N-340 Km-1167;41.1286916667;1.2970766667
25196;Tramuntana;Av. de la Florida, front 22;41.1271566667;1.17891
