latitu;long;tipus;places
41.1187429;1.2502911;Motocicletes;63
41.1194651;1.2531936;Motocicletes;23
41.1196313;1.2461314;Motocicletes;40
41.1174854;1.2505977;Motocicletes;8
41.1176918;1.2458699;Motocicletes;80
41.1165141;1.2474864;Motocicletes;90
41.1203973;1.2396648;Motocicletes;15
41.110807;1.2502362;Motocicletes;30
41.1139529;1.2519488;Motocicletes;12
41.117347197709;1.2527384522704;Motocicletes;40
41.1117149;1.2506353;Motocicletes;15
41.1148903;1.2489654;Motocicletes;20
41.118307401681;1.2596097914017;Motocicletes;5
41.1188827;1.2444909;Motocicletes;8
41.1138301;1.2509798;Motocicletes;9
41.1245513;1.2421865;Motocicletes;15
41.1180509;1.2483085;Motocicletes;15
41.1189682;1.2399566;Motocicletes;40
41.1210418;1.2545691;Motocicletes;10
41.11357992762;1.2412727809509;Motocicletes;10
41.1146349;1.250495;Motocicletes;8
41.1218493;1.2544473;Motocicletes;10
41.1141966;1.2421103;Motocicletes;20
41.1137161;1.2500144;Motocicletes;14
41.1106023;1.2512754;Motocicletes;13
41.1169026;1.2510285;Motocicletes;55
41.1122105;1.2439238;Motocicletes;15
41.120804706967;1.2423024809814;Motocicletes;15
41.1216989;1.2496002;Motocicletes;14
41.1195775;1.2426458;Motocicletes;15
41.1148587;1.2480308;Motocicletes;20
41.1210127;1.2436255;Motocicletes;30
41.1193076;1.239259;Motocicletes;15
41.1182534;1.2443177;Motocicletes;30
41.1212766;1.2508484;Motocicletes;17
41.1188633;1.2607489;Motocicletes;5
41.1115259;1.2494942;Motocicletes;16
41.1151059;1.2501838;Motocicletes;15
41.1110213;1.2485332;Motocicletes;21
41.1152336;1.2412149;Motocicletes;10
41.1173293;1.2552421;Motocicletes;15
41.1139163;1.246435;Motocicletes;10
41.1198991;1.2444399;Motocicletes;20
41.1187022;1.2477491;Motocicletes;30
41.1168994;1.2566129;Motocicletes;10
41.1174253;1.2593494;Motocicletes;5
41.1154104;1.2497865;Motocicletes;22
41.1196224;1.259054;Motocicletes;16
41.1115585;1.2529323;Motocicletes;26
41.1103849;1.2496086;Motocicletes;17
41.1181495;1.2590659;Motocicletes;6
41.113931719506;1.2561709571472;Motocicletes;180
41.1213171;1.2409655;Motocicletes;20
41.1170511;1.2534894;Motocicletes;80
41.1188337;1.2446834;Motocicletes;40
41.1112685;1.2519904;Motocicletes;13
41.1160353;1.2482519;Motocicletes;30
41.119157079066;1.2533056680145;Motocicletes;14
41.1196586;1.2515451;Motocicletes;7
41.1133107;1.2481054;Motocicletes;10
41.1191697;1.2439145;Motocicletes;8
41.1229501;1.2392415;Motocicletes;10
41.1230619;1.2404857;Motocicletes;15
41.1183779;1.2580908;Motocicletes;10
41.1169329;1.2594209;Motocicletes;33
41.1211183;1.259324;Motocicletes;45
41.1214249;1.2532773;Motocicletes;6
41.1212139;1.2519851;Motocicletes;20
41.1203141;1.2534756;Motocicletes;6
41.1122142;1.247523;Motocicletes;10
41.1124292;1.2434935;Motocicletes;9
41.1114599;1.249857;Motocicletes;4
41.1140693;1.2430466;Motocicletes;16
41.1161744;1.259283;Motocicletes;23
41.118882039809;1.2177184981476;Motocicletes;40
41.1185547;1.2501117;Motocicletes;4
41.1196029;1.2516188;Motocicletes;7
41.1176053;1.2451432;Motocicletes;9
41.1176144;1.2467842;Motocicletes;19
41.118460799103;1.2388907111145;Motocicletes;15
41.1154104;1.2497865;Exclusives Discapacitats;1
41.1163029;1.2501586;Exclusives Discapacitats;1
41.1171114;1.2510845;Exclusives Discapacitats;3
41.1182311;1.2518101;Exclusives Discapacitats;1
41.1201859;1.2519909;Exclusives Discapacitats;5
41.1213473;1.2492086;Exclusives Discapacitats;3
41.1188827;1.2444909;Exclusives Discapacitats;4
41.1188827;1.2444909;Exclusives Discapacitats;2
41.1188336;1.2479507;Exclusives Discapacitats;2
41.1188827;1.2444909;Exclusives Discapacitats;4
41.1197351;1.2407057;Exclusives Discapacitats;2
41.1230879;1.243704;Exclusives Discapacitats;5
41.1219347;1.2459717;Exclusives Discapacitats;3
41.1164782;1.2530433;Exclusives Discapacitats;1
41.1137595;1.2499719;Exclusives Discapacitats;1
41.1133384;1.2458584;Exclusives Discapacitats;5
41.1157109;1.2558814;Exclusives Discapacitats;4
41.1102762;1.2506229;Exclusives Discapacitats;2
41.1130515;1.253391;Exclusives Discapacitats;2
41.1183314;1.2579927;Exclusives Discapacitats;2
41.115257;1.2526408;Exclusives Discapacitats;2
41.1167202;1.2462005;Exclusives Discapacitats;1
41.1147672;1.2517775;Exclusives Discapacitats;1
41.1131876;1.2505786;Exclusives Discapacitats;3
41.1199828;1.2507694;Exclusives Discapacitats;3
41.1211614;1.2398107;Exclusives Discapacitats;2
41.1139413;1.2438455;Exclusives Discapacitats;2
41.1197908;1.2574967;Exclusives Discapacitats;2
41.1202332;1.2579007;Exclusives Discapacitats;2
41.1238731;1.2135829;Exclusives Discapacitats;1
41.1219435;1.2530808;Exclusives Discapacitats;1
41.1219201;1.1939811;Exclusives Discapacitats;1
41.117555;1.19012;Exclusives Discapacitats;1
41.118967;1.193648;Exclusives Discapacitats;1
41.1186921;1.2177936;Exclusives Discapacitats;1
41.1192847;1.2606639;Exclusives Discapacitats;2
41.1198991;1.2444399;Exclusives Discapacitats;1
41.0803482;1.1319214;Exclusives Discapacitats;1
41.1146349;1.250495;Exclusives Discapacitats;1
41.1172237;1.2448618;Exclusives Discapacitats;2
41.115722;1.2593018;Exclusives Discapacitats;1
41.1143377;1.2474501;Exclusives Discapacitats;1
41.1184872;1.2177462;Exclusives Discapacitats;3
40.7067997;0.5801695;Exclusives Discapacitats;2
41.1171159;1.2048316;Exclusives Discapacitats;1
41.113877;1.2415992;Exclusives Discapacitats;2
41.1169535;1.2211637;Exclusives Discapacitats;1
41.1139923;1.2610498;Exclusives Discapacitats;3
41.120543388177;1.2780334656067;Exclusives Discapacitats;8
41.1229268;1.2140778;Exclusives Discapacitats;2
41.1126904;1.2438729;Exclusives Discapacitats;2
41.1195699;1.2533411;Càrrega/descàrrega;3
41.1241977;1.2387525;Càrrega/descàrrega;2
41.1154166;1.2472848;Càrrega/descàrrega;2
41.1170286;1.2484316;Càrrega/descàrrega;6
41.1199561;1.2541204;Càrrega/descàrrega;3
41.120619511609;1.2513701128975;Càrrega/descàrrega;4
41.1198161;1.2396211;Càrrega/descàrrega;1
40.7067997;0.5801695;Càrrega/descàrrega;1
41.1125105;1.2508445;Càrrega/descàrrega;5
41.1114824;1.2518576;Càrrega/descàrrega;2
41.1114408;1.2465833;Càrrega/descàrrega;2
41.1146295;1.2494212;Càrrega/descàrrega;7
41.1153139;1.2478727;Càrrega/descàrrega;1
41.1154475;1.2523564;Càrrega/descàrrega;1
41.114401;1.2430692;Càrrega/descàrrega;2
41.118189612097;1.2482591423812;Càrrega/descàrrega;3
41.1187867;1.2406258;Càrrega/descàrrega;3
41.1217029;1.2546937;Càrrega/descàrrega;1
41.117781836351;1.2514181323834;Càrrega/descàrrega;2
41.1126904;1.2438729;Càrrega/descàrrega;2
41.1143404;1.2504613;Càrrega/descàrrega;3
41.1224113;1.2524844;Càrrega/descàrrega;1
41.1148031;1.2422426;Càrrega/descàrrega;1
41.1169535;1.2211637;Càrrega/descàrrega;1
41.113479823271;1.2507176232788;Càrrega/descàrrega;2
41.1171114;1.2510845;Càrrega/descàrrega;3
41.1157659;1.2448636;Càrrega/descàrrega;3
41.1158252;1.2556797;Càrrega/descàrrega;1
41.1216978;1.2453291;Càrrega/descàrrega;1
41.121038894657;1.2487741312069;Càrrega/descàrrega;5
41.1219435;1.2530808;Càrrega/descàrrega;1
41.1146323;1.2475831;Càrrega/descàrrega;8
41.1153708;1.2434836;Càrrega/descàrrega;2
