nomZona;edad;sexe;nacionalitat;quantitat
SANT PERE I SANT PAU;59;D;ESPANYA;106
SANT PERE I SANT PAU;70;D;ESPANYA;80
TARRAGONA;82;H;ESPANYA;193
TARRAGONA;60;D;ESPANYA;505
SANT SALVADOR;35;H;ESPANYA;27
SANT PERE I SANT PAU;84;H;ESPANYA;33
SANT PERE I SANT PAU;82;D;ESPANYA;49
TORREFORTA;34;D;ESPANYA;81
TARRAGONA;59;H;ESPANYA;354
MONTGONS (ELS);53;H;ESPANYA;20
TARRAGONA;50;H;ESPANYA;438
TORREFORTA;34;H;ESPANYA;78
TORREFORTA;43;D;ESTRANGER;78
TAMARIT;58;D;ESPANYA;20
TORREFORTA;50;D;ESPANYA;122
ARRABASSADA I SAVINOSA;36;H;ESPANYA;19
TARRAGONA;34;D;ESPANYA;306
SANT PERE I SANT PAU;55;H;ESPANYA;97
TARRAGONA;59;D;ESPANYA;451
TARRAGONA;51;H;ESPANYA;425
TORREFORTA;78;D;ESPANYA;62
SANT PERE I SANT PAU;72;D;ESPANYA;80
ARRABASSADA I SAVINOSA;60;H;ESPANYA;27
TORREFORTA;64;H;ESPANYA;109
SANT PERE I SANT PAU;50;H;ESPANYA;111
TARRAGONA;25;H;ESTRANGER;147
TORREFORTA;31;H;ESPANYA;77
TARRAGONA;63;H;ESPANYA;365
BONAVISTA;61;D;ESPANYA;49
ARRABASSADA I SAVINOSA;48;H;ESPANYA;39
TORREFORTA;30;H;ESTRANGER;86
SANT PERE I SANT PAU;24;D;ESPANYA;68
BONAVISTA;59;H;ESPANYA;36
TARRAGONA;43;D;ESPANYA;332
SANT PERE I SANT PAU;78;H;ESPANYA;49
CAMPSA;43;D;ESPANYA;7
TAMARIT;54;H;ESPANYA;18
SANT PERE I SANT PAU;79;D;ESPANYA;44
SANT PERE I SANT PAU;76;D;ESPANYA;83
TARRAGONA;66;D;ESPANYA;427
TORREFORTA;26;D;ESPANYA;80
SANT PERE I SANT PAU;31;D;ESPANYA;59
TARRAGONA;93;D;ESPANYA;119
